date,Open,Low,High,Close,date1
2015-11-19,107.8,107.8,108.0,107.83,2015-11-19
2015-11-23,106.86,106.08,107.77,106.87,2015-11-23
2015-11-24,106.92,106.81,106.93,106.92,2015-11-24
2015-11-27,105.35,104.86,105.96,105.53,2015-11-27
2015-11-30,105.42,103.75,106.0999,104.01,2015-11-30
2015-12-01,107.15,104.41,107.18,105.88,2015-12-01
2015-12-02,106.29,105.79,107.92,107.14,2015-12-02
2015-12-03,105.935,103.35,106.94,104.025,2015-12-03
2015-12-04,104.56,104.53,104.6,104.55,2015-12-04
2015-12-08,106.45,103.85,106.91,103.92,2015-12-08
2015-12-09,104.02,103.55,106.72,104.1,2015-12-09
2015-12-10,106.16,104.41,106.4,105.5,2015-12-10
2015-12-11,103.3268,101.7,105.75,101.94,2015-12-11
2015-12-12,101.71,101.63,101.9,101.7999,2015-12-12
2015-12-14,102.81,101.46,104.75,102.21,2015-12-14
2015-12-15,104.66,104.59,104.7,104.65,2015-12-15
2015-12-16,106.59,104.19,107.09,105.16,2015-12-16
2015-12-17,106.9812,105.98,107.75,107.47,2015-12-17
2015-12-18,106.53,105.95,106.57,106.54,2015-12-18
2015-12-23,104.29,103.86,107.2,104.57,2015-12-23
2015-12-24,104.5,104.35,104.53,104.5,2015-12-24
2015-12-29,106.89,106.19,107.74,107.3835,2015-12-29
2015-12-30,106.88,106.06,107.29,106.87,2015-12-30
2015-12-31,105.36,104.62,106.45,105.2864,2015-12-31
2016-01-01,104.73,104.72,104.75,104.75,2016-01-01
2016-01-04,101.66,99.75,104.44,100.5882,2016-01-04
2016-01-05,102.4762,101.41,103.7099,102.31,2016-01-05
2016-01-06,102.81,102.75,102.82,102.75,2016-01-06
2016-01-07,101.08,97.3,102.02,98.11,2016-01-07
2016-01-08,99.18,97.0311,100.5,98.734,2016-01-08
2016-01-09,97.24,97.13,97.25,97.18,2016-01-09
2016-01-12,99.45,97.51,99.96,99.16,2016-01-12
2016-01-13,99.0831,95.01,100.58,99.22,2016-01-13
2016-01-14,95.14,95.01,95.19,95.05,2016-01-14
2016-01-20,90.94,89.37,95.0,92.96,2016-01-20
2016-01-21,94.94,94.6,94.95,94.94,2016-01-21
2016-01-22,96.94,94.16,98.24,95.86,2016-01-22
2016-01-23,98.14,98.08,98.47,98.2,2016-01-23
2016-01-27,102.6,94.23,107.25,97.7,2016-01-27
2016-01-28,107.45,104.81,110.34,106.38,2016-01-28
2016-01-29,108.62,107.72,112.84,111.97,2016-01-29
2016-01-30,112.15,112.07,112.2,112.15,2016-01-30
2016-02-02,114.67,113.2,117.59,115.7401,2016-02-02
2016-02-03,115.53,109.75,115.67,111.697,2016-02-03
2016-02-04,110.49,109.22,113.7,109.97,2016-02-04
2016-02-05,109.35,109.27,109.45,109.35,2016-02-05
2016-02-10,102.90799999999999,100.24,103.25,101.84700000000001,2016-02-10
2016-02-11,101.72,98.65,105.11,99.5,2016-02-11
2016-02-12,103.06,101.09,104.24,102.2,2016-02-12
2016-02-13,101.97,101.87,101.97,101.97,2016-02-13
2016-02-17,102.26,100.4,105.72,105.15,2016-02-17
2016-02-18,103.54,103.03,105.67,104.25,2016-02-18
2016-02-19,104.44,102.06,105.02,102.95,2016-02-19
2016-02-20,104.59,104.57,104.65,104.57,2016-02-20
2016-02-22,105.7,105.34,108.25,106.8,2016-02-22
2016-02-23,105.93,105.12,107.47,105.9,2016-02-23
2016-02-24,105.2,105.15,105.29,105.24,2016-02-24
2016-02-26,108.01,107.16,109.45,107.94,2016-02-26
2016-02-27,107.75,107.74,107.85,107.75,2016-02-27
2016-02-29,108.18,106.75,108.9101,107.25,2016-02-29
2016-03-01,109.31,106.85,110.01,107.04,2016-03-01
2016-03-02,110.24799999999999,108.77,110.55,109.0995,2016-03-02
2016-03-03,108.92,108.54,110.3,109.5,2016-03-03
2016-03-04,108.84,107.93,110.07,108.7716,2016-03-04
2016-03-05,108.3,108.3,108.34,108.32,2016-03-05
2016-03-09,106.51,105.49,107.6,107.07,2016-03-09
2016-03-10,107.47,105.7699,108.66,106.41,2016-03-10
2016-03-11,108.7899,107.2,109.48,108.48,2016-03-11
2016-03-12,109.26,109.2,109.3,109.21,2016-03-12
2016-03-14,109.97,108.45,110.33,109.88,2016-03-14
2016-03-15,109.43,108.84,110.83,110.67,2016-03-15
2016-03-17,111.4282,110.73,112.69,111.06,2016-03-17
2016-03-18,112.03,110.27,112.42,111.59,2016-03-18
2016-03-21,111.889,111.03,112.37,111.32,2016-03-21
2016-03-28,113.95,112.8,114.5889,113.79,2016-03-28
2016-03-29,115.21,113.4,116.36,113.63,2016-03-29
2016-03-31,114.58,107.96,115.01,114.355,2016-03-31
2016-04-01,115.79,113.31,116.17,116.03,2016-04-01
2016-04-06,113.66,112.4,113.81,112.56,2016-04-06
2016-04-07,113.6,113.0663,114.89,113.71,2016-04-07
2016-04-08,110.54,109.9,114.6,113.04,2016-04-08
2016-04-14,110.97,110.15,112.04,110.7836,2016-04-14
2016-04-15,111.5455,111.5455,111.5455,111.5455,2016-04-15
2016-04-18,109.98,109.0,110.81,109.8559,2016-04-18
2016-04-19,112.25,109.16,116.49,116.49,2016-04-19
2016-04-20,112.69,111.56,113.27,112.37,2016-04-20
2016-04-22,111.8,109.01,112.09,111.95,2016-04-22
2016-04-25,110.102,109.07,110.67,109.8999,2016-04-25
2016-04-28,119.83,116.23,121.71,116.55,2016-04-28
2016-04-29,117.4,115.84,117.84,116.01,2016-04-29
2016-05-03,117.79,117.02,118.16,117.68,2016-05-03
2016-05-04,116.96,116.5,118.3,117.79799999999999,2016-05-04
2016-05-05,117.61,117.25,119.39,118.28,2016-05-05
2016-05-09,119.26,118.79,120.28,119.56,2016-05-09
2016-05-11,119.8,119.42,121.08,119.79,2016-05-11
2016-05-13,119.89,119.0,120.64,119.82,2016-05-13
2016-05-16,118.315,117.35,120.15,118.58,2016-05-16
2016-05-17,118.2,117.2,119.19,117.7299,2016-05-17
2016-05-19,117.05,115.88,117.6,116.7044,2016-05-19
2016-05-24,117.28,116.12,117.95,117.46,2016-05-24
2016-05-25,118.18,117.38,118.665,118.3502,2016-05-25
2016-05-26,119.27,117.92,119.7601,119.52,2016-05-26
2016-06-07,117.99,117.67,119.3,118.6,2016-06-07
2016-06-08,118.4,117.27,118.6,118.39,2016-06-08
2016-06-09,118.06,117.71,118.68,118.15299999999999,2016-06-09
2016-06-10,117.86,116.26,118.11,116.96,2016-06-10
2016-06-13,113.92,113.31,116.76,114.36,2016-06-13
2016-06-16,113.14,112.94,114.5,113.96,2016-06-16
2016-06-28,112.78,109.25,112.94,111.62,2016-06-28
