,weekNum,year,level_2,Close
244,41 week,2015,Close,93.2701
245,41 week,2016,Close,127.93
246,41 week,2017,Close,174.64
247,41 week,2018,Close,153.43
248,41 week,2019,Close,183.78
249,42 week,2014,Close,77.15
250,42 week,2015,Close,97.31
251,42 week,2016,Close,133.11
252,42 week,2017,Close,173.84
253,42 week,2018,Close,156.88
254,42 week,2019,Close,189.245
255,43 week,2014,Close,80.3599
256,43 week,2015,Close,101.82
257,43 week,2016,Close,131.48
258,43 week,2017,Close,179.81
259,43 week,2018,Close,144.0669
260,43 week,2019,Close,187.08
261,44 week,2014,Close,74.4462
262,44 week,2015,Close,103.3
263,44 week,2016,Close,121.985
264,44 week,2017,Close,180.39
265,44 week,2018,Close,148.025
266,44 week,2019,Close,195.7093
267,45 week,2014,Close,74.9701
268,45 week,2015,Close,107.464
269,45 week,2016,Close,114.7985
270,45 week,2017,Close,178.58
271,45 week,2018,Close,143.33
272,45 week,2019,Close,189.8
273,46 week,2014,Close,74.02
274,46 week,2015,Close,101.429
275,46 week,2016,Close,119.78
276,46 week,2017,Close,178.75
277,46 week,2018,Close,132.1
278,46 week,2019,Close,195.67
279,47 week,2014,Close,74.19
280,47 week,2015,Close,107.35
281,47 week,2016,Close,120.9689
282,47 week,2017,Close,182.1995
283,47 week,2018,Close,134.485
284,47 week,2019,Close,200.38
285,48 week,2014,Close,75.59
286,48 week,2015,Close,104.33
287,48 week,2016,Close,117.08
288,48 week,2017,Close,172.2
289,48 week,2018,Close,143.1
290,48 week,2019,Close,199.9
291,49 week,2014,Close,76.525
292,49 week,2015,Close,106.2
293,49 week,2016,Close,118.3741
294,49 week,2017,Close,179.38
295,49 week,2018,Close,139.0
296,49 week,2019,Close,200.75
297,05 week,2014,Close,62.49
298,05 week,2015,Close,76.26
299,05 week,2016,Close,99.94
300,05 week,2017,Close,131.7499
301,05 week,2018,Close,187.6428
302,05 week,2019,Close,168.91400000000002
303,05 week,2020,Close,203.01
304,50 week,2014,Close,78.1999
305,50 week,2015,Close,104.595
306,50 week,2016,Close,119.86
307,50 week,2017,Close,181.25
308,50 week,2018,Close,142.8
309,50 week,2019,Close,197.84
310,51 week,2014,Close,81.675
311,51 week,2015,Close,104.3101
312,51 week,2016,Close,117.15
313,51 week,2017,Close,177.0
314,51 week,2018,Close,123.06
315,51 week,2019,Close,206.0
316,52 week,2014,Close,80.7
317,52 week,2015,Close,104.64
318,52 week,2016,Close,115.15
319,52 week,2017,Close,176.4
320,52 week,2018,Close,130.5317
321,52 week,2019,Close,204.4801
322,53 week,2015,Close,101.94
323,06 week,2014,Close,63.91
324,06 week,2015,Close,73.89
325,06 week,2016,Close,101.95
326,06 week,2017,Close,134.1999
327,06 week,2018,Close,176.3
328,06 week,2019,Close,166.12
329,06 week,2020,Close,212.56
330,07 week,2014,Close,67.15
331,07 week,2015,Close,75.62
332,07 week,2016,Close,105.83
333,07 week,2017,Close,133.39
334,07 week,2018,Close,177.13
335,07 week,2019,Close,162.4
336,07 week,2020,Close,214.07
337,08 week,2014,Close,70.63
338,08 week,2015,Close,78.9
339,08 week,2016,Close,107.0
340,08 week,2017,Close,137.12
341,08 week,2018,Close,185.1568
342,08 week,2019,Close,164.94
343,08 week,2020,Close,204.0
344,09 week,2014,Close,67.27199999999999
345,09 week,2015,Close,79.7
346,09 week,2016,Close,106.4
347,09 week,2017,Close,136.709
348,09 week,2018,Close,178.44
349,09 week,2019,Close,164.535
350,09 week,2020,Close,190.72
