date,Open,Low,High,Close,Volume,PE,date1,Returns,day,year,MovingAvg,UB,LB,STD,pct_ma,MovingAvgReturn,line
2014-06-12,64.37,64.06,66.5,64.5032,53892897.0,107.50533333333335,2014-06-12,-0.006727738331169686,Thursday,2014,60.73923333333338,111.32067459409129,10.157792072575468,1.0727451085881765,0.0018289897673331667,0.2785815225961643,0
2014-06-16,64.16,63.75,64.88,64.27,30156373.0,107.11666666666666,2014-06-16,-0.003615324511032192,Monday,2014,60.95209047619053,111.53353173694845,10.370649215432614,1.0615025991489,0.003920183776946607,0.36423813820299084,0
2014-06-17,64.529,63.93,64.88,64.42,26355439.0,107.36666666666667,2014-06-17,0.0023339038431617887,Tuesday,2014,61.19637619047624,111.77781745123416,10.61493492971833,0.7549012637424081,0.006242340378119415,0.40418151152996373,0
2014-06-19,65.52,64.1,65.6,65.11,32737274.0,108.51666666666667,2014-06-19,0.010710959329400804,Thursday,2014,61.58209047619053,112.16353173694844,11.000649215432617,0.35867787497962206,0.006895936805824299,0.4174331759028201,0
2014-06-20,63.5401,63.35,64.81,64.14,45049562.0,106.9,2014-06-20,-0.014897865151282441,Friday,2014,61.917804761904826,112.49924602266273,11.336363501146913,0.37428765408424314,-0.0024392129641843453,0.4756492877085274,0
2014-06-27,67.47,66.53,67.7,67.34,45164958.0,112.23333333333335,2014-06-27,0.049890863735578383,Friday,2014,62.26066190476196,112.84210316551987,11.679220644004047,1.3304999060503278,0.008884507449165269,0.5288757811021645,0
2014-06-28,67.6,67.6,67.6,67.6,18972.0,112.66666666666666,2014-06-28,0.0038610038610036312,Saturday,2014,62.6535190476191,113.23496030837701,12.072077786861186,1.6368628531431624,0.010379773123572434,0.5683084460006053,0
2014-07-08,62.355,62.21,65.56,65.47,64870956.0,109.11666666666667,2014-07-08,-0.03150887573964489,Tuesday,2014,63.02637619047624,113.60781745123415,12.444934929718329,1.4887142103170743,0.003611217207011097,0.5733462464925325,0
2014-07-14,67.9,66.34,68.17,67.92,35447838.0,113.2,2014-07-14,0.03742171987169707,Monday,2014,63.498757142857194,114.0801984036151,12.917315882099281,1.624986153787175,0.00895336931547035,0.6219845715578474,0
2014-07-15,68.03,66.26,68.17,66.86,42698738.0,111.43333333333334,2014-07-15,-0.015606595995288575,Tuesday,2014,63.85970952380957,114.44115078456748,13.278268263051658,0.9585509897757593,0.008811623146669122,0.639793263094357,0
2014-07-17,66.34,66.0,67.85,66.7201,36551159.0,111.20016666666668,2014-07-17,-0.0020924319473526465,Thursday,2014,64.26161904761909,114.843060308377,13.68017778686118,0.9497738162320933,-0.001585035989917083,0.6407620564059157,0
2014-07-18,68.5,66.16,68.69,68.25,41204211.0,113.75,2014-07-18,0.022930121507611645,Friday,2014,64.65500000000004,115.23644126075796,14.07355873924213,1.099778978704399,0.0022287875394045196,0.6361500558034442,0
