month,Open,Low,High,Close,Volume,PE,month1,Returns,monthN,year,MovingAvg,UB,LB,STD,pct_ma,MovingAvgReturn,line
2019-08,192.38,170.913625,203.8,183.71,304705339.0,24.268163804491415,2019-08-01,-0.06935157041540019,August,2019,190.555,243.13736260197425,137.97263739802577,7.655562030314775,-0.01656554898722762,2.4006275221284534,0
2019-09,182.5,167.45408999999995,206.7,178.31,287515782.0,23.554821664464992,2019-09-01,-0.029394153829405023,September,2019,181.01000000000005,233.5923626019743,128.4276373980258,8.273985134141682,-0.049372862122402605,6.74933422642567,0
2019-10,175.61,170.913625,200.8495,191.85,474109454.0,25.34346103038309,2019-10-01,0.07593516908754405,October,2019,185.08000000000004,237.66236260197428,132.4976373980258,7.434818760400114,0.023270507629069515,2.8779245994295133,0
2019-11,194.42,187.5117,210.516,202.9067,253385562.0,26.804055482166447,2019-11-01,0.05763200416992453,November,2019,197.37835000000004,249.96071260197428,144.7959873980258,9.968658890643082,0.06678358662873429,8.696246682405706,0
2019-12,199.45,187.7905,214.84799999999998,204.52,293268647.0,27.017173051519155,2019-12-01,0.007950944941689908,December,2019,203.71335000000005,256.2957126019743,151.1309873980258,11.527498847451575,0.03279147455580722,4.479521458817035,0
2020-01,205.3,201.06,225.07,201.9547,318378955.0,31.408195956454122,2020-01-01,-0.012543027576765176,January,2020,203.23735000000005,255.8197126019743,150.6549873980258,11.021205630374439,-0.0022960413175376337,0.33658282784801175,0
2020-02,201.25,181.82,218.8,193.69,290396830.0,30.122861586314155,2020-02-01,-0.04092353384199532,February,2020,197.82235000000003,250.40471260197427,145.2399873980258,5.78317216992519,-0.026733280709380247,3.8289832201254304,0
2020-03,189.21,137.1006,197.7,168.0046,592211390.0,26.128242612752725,2020-03-01,-0.13261087304455565,March,2020,180.84730000000002,233.42966260197426,128.26493739802578,15.238949462971437,-0.08676720344327549,12.00317296598082,0
2020-04,162.775,150.83,217.26,206.1537,505156371.0,32.06122861586314,2020-04-01,0.22707175874946262,April,2020,187.07915,239.66151260197424,134.49678739802576,15.76213287550252,0.04723044285245348,4.4065833943376544,0
2020-05,205.11,198.0,240.9,223.549,480712618.0,34.766562986003116,2020-05-01,0.08438024638898067,May,2020,214.85135000000002,267.43371260197426,162.26898739802579,20.315799375978234,0.15572600256922164,19.63791094846909,0
2020-06,229.38,206.23,245.1853,219.754,513263295.0,34.17636080870918,2020-06-01,-0.016976143932650234,June,2020,221.65150000000006,274.2338626019743,169.06913739802582,22.479409264435702,0.03370205122816522,4.808432178085729,0
2020-07,234.16,224.21,255.88,252.51,493387017.0,39.2706065318818,2020-07-01,0.14905758256960056,July,2020,236.13200000000006,288.7143626019743,183.54963739802582,30.7589543755635,0.06604071931847516,10.23925974497181,0
2020-08,251.5,247.43,307.77,293.2,549097352.0,45.59875583203733,2020-08-01,0.16114213298483238,August,2020,272.8550000000001,325.4373626019743,220.27263739802584,34.67050577548586,0.15509985777721647,25.967082325513623,0
2020-09,296.67,244.13,303.9,261.5,468086050.0,40.66874027993779,2020-09-01,-0.10811732605729873,September,2020,277.3500000000001,329.9323626019743,224.76763739802584,30.079949232005003,0.02651240346376682,3.1784449814339584,0
